date,team1,score1,team2,score2
2016-03-24,Space Soldiers,16,Flash,7
2016-03-24,Space Soldiers,16,Flash,5
2016-03-24,Iwku,16,Recursive,5
2016-03-24,Recursive,11,Iwku,16
2016-03-24,eXtatus,12,WinOut,16
2016-03-24,WinOut,16,eXtatus,6
2016-03-24,Playing Ducks,11,Isak,16
2016-03-24,Playing Ducks,9,Isak,16
2016-03-24,Aquiver.RED,14,Fragsters,16
2016-03-24,Aquiver.RED,6,Fragsters,16
2016-03-24,Krydsild,16,Aquiver.BLU,7
2016-03-24,Aquiver.BLU,16,Krydsild,19
2016-03-24,Publiclir.se,16,GamersLeague,7
2016-03-24,Publiclir.se,13,GamersLeague,16
2016-03-24,Publiclir.se,16,GamersLeague,6
2016-03-24,Tricked,16,FAB,9
2016-03-24,FAB,16,Tricked,6
2016-03-24,Tricked,12,FAB,16
2016-03-24,BX3,14,Epiphany Bolt,16
2016-03-24,Epiphany Bolt,9,BX3,16
2016-03-24,BX3,16,Epiphany Bolt,14
2016-03-24,Plantronics,16,n0_0rg,5
2016-03-24,n0_0rg,1,Plantronics,16
2016-03-24,Alpha,12,Bananaboys,16
2016-03-24,Alpha,16,Bananaboys,14
2016-03-24,Bananaboys,13,Alpha,16
2016-03-24,Epsilon,16,Isak,4
2016-03-24,Epsilon,16,Isak,1
2016-03-24,Iwku,16,Krydsild,5
2016-03-24,Krydsild,5,Iwku,16
2016-03-24,Plantronics,16,WinOut,5
2016-03-24,Plantronics,16,WinOut,8
2016-03-24,FAB,7,Fragsters,16
2016-03-24,Fragsters,16,FAB,7
2016-03-24,BX3,10,Space Soldiers,16
2016-03-24,BX3,7,Space Soldiers,16
2016-03-24,Preparation,16,404OrgNotFound,7
2016-03-24,404OrgNotFound,13,Preparation,16
2016-03-24,Publiclir.se,16,Orbit,9
2016-03-24,Publiclir.se,8,Orbit,16
2016-03-24,Publiclir.se,16,Orbit,11
2016-03-25,HellRaisers,16,Space Soldiers,6
2016-03-25,Iwku,16,RCTIC,7
2016-03-25,CPH Wolves,16,Alpha,10
2016-03-25,Publiclir.se,16,ENCE,13
2016-03-25,SK,16,Plantronics,7
2016-03-25,Fragsters,7,dignitas,16
2016-03-25,Epsilon,8,E-frag.net,16
2016-03-25,ALTERNATE aTTaX,8,Preparation,16
2016-03-25,Karma,16,Wyvern Ladies,4
2016-03-25,Karma,16,Wyvern Ladies,4
2016-03-25,CLG Red,16,mCon fe,10
2016-03-25,CLG Red,16,mCon fe,9
2016-03-25,Secret fe,16,Orbit fe,9
2016-03-25,Orbit fe,6,Secret fe,16
2016-03-25,doyoueven fe,16,ENYO fe,5
2016-03-25,ENYO fe,1,doyoueven fe,16
2016-03-25,HellRaisers,16,Iwku,11
2016-03-25,Exertus fe,16,Planetkey fe,5
2016-03-25,Exertus fe,16,Planetkey fe,8
2016-03-25,RCTIC,6,Space Soldiers,16
2016-03-25,Fragsters,4,ALTERNATE aTTaX,16
2016-03-25,dignitas,16,Preparation,14
2016-03-25,Epsilon,16,Alpha,6
2016-03-25,CPH Wolves,16,E-frag.net,9
2016-03-25,ENCE,7,Plantronics,16
2016-03-25,SK,16,Publiclir.se,8
2016-03-25,ALSEN fe,16,nKnown fe,7
2016-03-25,ALSEN fe,16,nKnown fe,3
2016-03-25,Space Soldiers,16,Iwku,7
2016-03-25,Epsilon,14,E-frag.net,16
2016-03-25,Publiclir.se,19,Plantronics,15
2016-03-25,ALTERNATE aTTaX,11,Preparation,16
2016-03-25,doyoueven fe,5,LGB fe,16
2016-03-25,LGB fe,9,doyoueven fe,16
2016-03-25,LGB fe,16,doyoueven fe,7
2016-03-25,LDLC fe,16,Exertus fe,13
2016-03-25,Exertus fe,16,LDLC fe,10
2016-03-25,Exertus fe,16,LDLC fe,11
2016-03-25,YP Ladies,16,Rize fe,2
2016-03-25,YP Ladies,16,Rize fe,3
2016-03-25,Area08 fe,7,Millenium fe,16
2016-03-25,Millenium fe,19,Area08 fe,17
2016-03-25,Preparation,5,HellRaisers,16
2016-03-25,HellRaisers,17,Preparation,19
2016-03-25,HellRaisers,16,Preparation,8
2016-03-25,E-frag.net,16,dignitas,6
2016-03-25,dignitas,16,E-frag.net,8
2016-03-25,dignitas,14,E-frag.net,16
2016-03-25,CLG Red,16,YP Ladies,13
2016-03-25,YP Ladies,4,CLG Red,16
2016-03-25,LDLC fe,16,Planetkey fe,3
2016-03-25,LDLC fe,16,Planetkey fe,9
2016-03-25,Millenium fe,5,Secret fe,16
2016-03-25,Millenium fe,8,Secret fe,16
2016-03-25,ALSEN fe,6,Karma,16
2016-03-25,Karma,16,ALSEN fe,5
2016-03-25,doyoueven fe,16,ENYO fe,6
2016-03-25,ENYO fe,2,doyoueven fe,16
2016-03-25,Space Soldiers,1,SK,16
